,src,tgt
63,"import math

def findMinValue ( arr , n ) :
    """"""Write a function that takes an array of numbers and its length as input and returns the minimum value of a number such that the sum of the logarithms of all the numbers in the array is less than the logarithm of the minimum value multiplied by the length of the array.
    """"""","How to solve:
Step 1. Initialize min_value as the maximum value possible.
Step 2. Iterate through the array.
    -Calculate the sum of the logarithms of all the numbers in the array.
    -If the sum is less than the logarithm of the minimum value multiplied by the length of the array, update min_value.
Step 3. Return min_value."
64,"def largestSubStr ( s ) :
    """"""Write a function that takes a string as input and returns the largest substring of the input string that does not end with the character '1'.
    If the input string is empty or consists only of '1' characters, the function should return ""-1"".
    """"""","How to solve:
Step 1. Check if the input string is empty or consists only of '1' characters. If true, return ""-1"".
Step 2. Initialize variables: start = 0, end = 0, max_len = 0.
Step 3. Iterate through the input string.
    -If the current character is '1', update start = end + 1.
    -Update end = i.
    -Update max_len = max(max_len, end - start + 1).
Step 4. Return the substring from start to start + max_len."
65,"def MinRemove ( a , n , k ) :
    """"""Write a function that takes an array 'a', its length 'n', and an integer 'k' as input.
    The function removes the minimum number of elements from the array such that the count of each element is at most 'k'.
    The function returns the length of the modified array.
    """"""","How to solve:
Step 1. Initialize a dictionary to store the count of each element in the array.
Step 2. Iterate through the array and update the count in the dictionary.
Step 3. Iterate through the array again and remove elements that have a count greater than 'k'.
Step 4. Return the length of the modified array."
66,"def getMaxMedian ( arr , n , k ) :
    """"""Write a function that takes an array, its size, and an integer k as input and returns the maximum median of the array after adding k elements to it.
    The function first calculates the size of the array after adding k elements.
    It then sorts the array in ascending order.
    If the size is even, the function calculates the median by taking the average of the two middle elements.
    If the size is odd, the function simply returns the middle element as the median.
    """"""","How to solve:
Step 1. Calculate the size of the array after adding k elements.
Step 2. Sort the array in ascending order.
Step 3. If the size is even, calculate the median by taking the average of the two middle elements.
Step 4. If the size is odd, return the middle element as the median."
67,"def MinStep ( a , n ) :
    """"""Write a function that takes an array of integers and its length as input and returns the minimum number of steps required to make all the elements of the array equal to either 1 or -1.
    The function calculates the number of positive, negative, and zero elements in the array.
    For each negative element, the function adds the absolute difference between the element and -1 to the step count.
    For each positive element, the function adds the absolute difference between the element and 1 to the step count.
    If the number of negative elements is even, the function adds the number of zero elements to the step count.
    If the number of negative elements is odd, the function checks if there are any zero elements.
    If there are zero elements, it adds the number of zero elements to the step count.
    If there are no zero elements, it adds 2 to the step count.
    Finally, the function returns the total step count.
    """"""","How to solve:
Step 1. Initialize step count as 0.
Step 2. Count the number of positive, negative, and zero elements in the array.
Step 3. For each negative element, add the absolute difference between the element and -1 to the step count.
Step 4. For each positive element, add the absolute difference between the element and 1 to the step count.
Step 5. If the number of negative elements is even, add the number of zero elements to the step count.
Step 6. If the number of negative elements is odd, check if there are any zero elements.
    -If there are zero elements, add the number of zero elements to the step count.
    -If there are no zero elements, add 2 to the step count.
Step 7. Return the total step count."
68,"def findNthEvenDigitNumber ( n ) :
    """"""Write a function that takes an integer n and returns the nth even digit number.
    The function first checks if n is equal to 1, in which case it returns 0.
    Otherwise, it creates an empty list v and subtracts 1 from n.
    It then enters a while loop where it appends the remainder of n divided by 5 to the list v and updates n to be the floor division of n by 5.
    After the loop, the function initializes a variable result to 0.
    It then iterates over the elements in the list v in reverse order and updates the result by multiplying it by 10 and adding the current element.
    Finally, the function returns 2 times the result.
    """"""","How to solve:
Step 1. Check if n is equal to 1. If so, return 0.
Step 2. Create an empty list v and subtract 1 from n.
Step 3. Enter a while loop.
    -Append the remainder of n divided by 5 to the list v.
    -Update n to be the floor division of n by 5.
    -Exit the loop when n is 0.
Step 4. Initialize a variable result to 0.
Step 5. Iterate over the elements in the list v in reverse order.
    -Update the result by multiplying it by 10 and adding the current element.
Step 6. Return 2 times the result."
69,"import sys

def areSetBitsIncreasing ( n ) :
    """"""Write a function that takes an integer as input and returns True if the number has a sequence of increasing set bits (bits that are set to 1) and False otherwise.
    """"""","How to solve:
Step 1. Convert the integer to binary representation.
Step 2. Iterate through the binary representation.
    -If a set bit is encountered, check if the next bit is also set.
    -If the next bit is not set, return False.
Step 3. If the loop completes without returning False, return True."
70,"def closestMultiple ( n , x ) :
    """"""Write a function that takes two integers, n and x, and returns the closest multiple of x to n.
    If x is greater than n, it returns x.
    """"""","How to solve:
Step 1. If x is greater than n, return x.
Step 2. Calculate the remainder of n divided by x.
Step 3. If the remainder is less than or equal to half of x, return n - remainder.
Step 4. Otherwise, return n + (x - remainder)."
71,"def sumOfTheSeries ( n ) :
    """"""Write a function that takes an integer n and returns the sum of a series.
    The series is generated by starting with 0 and adding 2 to each subsequent number in the series.
    The series should include all numbers from 0 to n (inclusive).
    """"""","How to solve:
Step 1. Initialize sum as 0.
Step 2. Iterate from 0 to n (inclusive).
    -Add current number to sum.
    -Increment current number by 2.
Step 3. Return sum."
72,"def sumOfTheSeries ( n ) :
    """"""Write a function that takes an integer n and returns the sum of a series.
    The series is calculated as follows: for each number i from 1 to n, a new series is generated.
    In this new series, the first term is 1 and each subsequent term is obtained by adding 2 to the previous term.
    The sum of all the terms in each series is then added together to get the final sum.
    """"""","How to solve:
Step 1. Initialize the final sum as 0.
Step 2. Iterate through numbers from 1 to n.
    -Initialize the sum of the current series as 0.
    -Iterate through numbers from 1 to i.
        -Add 2 to the previous term to get the current term.
        -Add the current term to the sum of the current series.
    -Add the sum of the current series to the final sum.
Step 3. Return the final sum."
73,"def find_maxm ( arr , n ) :
    """"""Write a function that takes an array and its length as input and returns the maximum value in the array that occurs the same number of times as its value.
    """"""","How to solve:
Step 1. Initialize a variable max_value as -1.
Step 2. Initialize a dictionary count_dict to store the count of each value in the array.
Step 3. Iterate through the array.
    -If the value is not in count_dict, add it as a key with a value of 1.
    -If the value is already in count_dict, increment its value by 1.
Step 4. Iterate through the count_dict.
    -If the key is equal to its value and greater than max_value, update max_value.
Step 5. Return max_value."
74,"def countPairs ( a , n ) :
    """"""Write a function that takes a list of integers and the length of the list as input.
    The function counts the number of pairs of integers in the list where one integer is the power of 2 greater than the other integer.
    The function returns the count of such pairs.
    """"""","How to solve:
Step 1. Initialize count as 0.
Step 2. Iterate through the list of integers.
    -For each integer, check if there exists another integer in the list that is the power of 2 greater than the current integer.
    -If such integer exists, increment count by 1.
Step 3. Return the count of pairs."
75,"def toggle ( n ) :
    """"""Write a function that takes an integer as input and returns the result of toggling all the bits in the binary representation of the integer.
    """"""","How to solve:
Step 1. Convert the integer to binary representation.
Step 2. Toggle all the bits in the binary representation.
Step 3. Convert the toggled binary representation back to an integer.
Step 4. Return the toggled integer."
76,"def minChanges ( A , n ) :
    """"""Write a function that takes a list A and an integer n as input and returns the minimum number of changes needed in the list A to satisfy the following condition: if A[i-1] = 1, A[i+1] = 1, and A[i] = 0, then A[i+1] should be changed to 0.
    The function should return the total number of changes made.
    """"""","How to solve:
Step 1. Initialize a variable ""changes"" as 0 to keep track of the total number of changes made.
Step 2. Iterate through the list A from index 1 to n-2.
    -If A[i-1] = 1, A[i+1] = 1, and A[i] = 0, increment ""changes"" by 1 and set A[i+1] to 0.
Step 3. Return the value of ""changes""."
77,"def Convert ( radian ) :
    """"""Write a function that takes a radian value as input and converts it to degrees.
    The function should return the degree value.
    """"""","How to solve:
Step 1. Multiply the radian value by 180.
Step 2. Divide the result by pi.
Step 3. Return the degree value."
78,"import math

def edgeDisjoint ( n ) :
    """"""Write a function that takes an integer as input and returns the floor division of that number by 2.
    """"""","How to solve:
Step 1. Use the math.floor() function to perform floor division of the input number by 2.
Step 2. Return the result of the floor division."
79,"def sumOfAP ( a , d , n ) :
    """"""Write a function that takes three parameters: `a` (the first term of an arithmetic progression), `d` (the common difference), and `n` (the number of terms).
    The function calculates and returns the sum of the arithmetic progression.
    """"""","How to solve:
Step 1. Initialize a variable `sum` as 0.
Step 2. Calculate the sum of the arithmetic progression using the formula: `sum = (n/2) * (2*a + (n-1)*d)`.
Step 3. Return the value of `sum`."
80,"def makeOdd ( n ) :
    """"""Write a function that takes an integer as input and returns the largest power of 2 that divides the input number.
    If the input number is odd, the function should return 1.
    """"""","How to solve:
Step 1. If the input number is odd, return 1.
Step 2. Initialize a variable ""power"" as 1.
Step 3. While the input number is even, divide it by 2 and multiply ""power"" by 2.
Step 4. Return ""power""."
81,"def Square ( row , column , moves ) :
    """"""Write a function that takes three parameters: `row`, `column`, and `moves`.
    The function calculates the number of squares that can be reached by moving `moves` steps in any direction (up, down, left, right) from the given `row` and `column` position on an 8x8 chessboard.
    The function returns the total number of squares that can be reached, excluding the starting position.
    """"""","How to solve:
Step 1. Initialize a variable `count` as 0.
Step 2. Iterate through all possible moves.
    -For each move, calculate the new row and column position.
    -If the new position is within the bounds of the chessboard, increment `count` by 1.
Step 3. Return `count`."
82,"def findNumber ( n ) :
    """"""Write a function that takes an integer as input and returns the next number in a sequence where each number is the sum of the previous number and the current index.
    """"""","How to solve:
Step 1. Initialize a variable ""sum"" as 0.
Step 2. Iterate from 0 to n.
    -Add the current index to ""sum"".
Step 3. Return ""sum""."
83,"def findSmallest ( s ) :
    """"""Write a function that takes a string as input and returns the string with the smallest lexicographically possible permutation.
    The function first finds the last occurrence of each character in the string and stores it in a list.
    Then, it sorts the string and compares each character with its corresponding character in the sorted string.
    If a character is not in the correct position, the function swaps it with the character at its last occurrence.
    Finally, the function returns the modified string.
    """"""","How to solve:
Step 1. Initialize an empty list to store the last occurrence of each character in the string.
Step 2. Iterate through the string and update the last occurrence of each character in the list.
Step 3. Sort the string.
Step 4. Iterate through the string and compare each character with its corresponding character in the sorted string.
    -If a character is not in the correct position, swap it with the character at its last occurrence.
Step 5. Return the modified string."
84,"def rangesum ( n , l , r ) :
    """"""Write a function that takes three parameters: n, l, and r.
    The function creates an array of length n and fills it with consecutive odd numbers followed by consecutive even numbers.
    It then calculates the sum of the elements in the array from index l-1 to index r and returns the sum.
    """"""","How to solve:
Step 1. Create an empty array of length n.
Step 2. Fill the array with consecutive odd numbers followed by consecutive even numbers.
Step 3. Calculate the sum of the elements in the array from index l-1 to index r.
Step 4. Return the sum."
85,"def getHCF ( x , y ) :
    """"""Write a function that takes two integers, x and y, and returns their highest common factor (HCF).
    The function first finds the minimum of x and y.
    If both x and y are divisible by the minimum, the function returns the minimum as the HCF.
    Otherwise, the function iterates from the minimum divided by 2 to 1, checking if both x and y are divisible by the current number.
    If a common factor is found, the function returns that number as the HCF.
    If no common factor is found, the function returns 1.
    """"""","How to solve:
Step 1. Find the minimum of x and y.
Step 2. If both x and y are divisible by the minimum, return the minimum as the HCF.
Step 3. Iterate from the minimum divided by 2 to 1.
    -Check if both x and y are divisible by the current number.
    -If a common factor is found, return that number as the HCF.
Step 4. If no common factor is found, return 1."
86,"def findNthNumber ( A , B , N ) :
    """"""Write a function that takes three parameters A, B, and N and returns the Nth number in a sequence.
    The sequence starts with A and B, and each subsequent number is the sum of the previous two numbers.
    """"""","How to solve:
Step 1. Initialize a list with A and B as the first two elements.
Step 2. Iterate N-2 times.
    -Compute the sum of the last two elements in the list.
    -Append the sum to the list.
Step 3. Return the Nth element in the list."
87,"def findOccurrences ( str , substr ) :
    """"""Write a function that takes two strings, `str` and `substr`, and returns the number of times `substr` appears in `str`.
    """"""","How to solve:
Step 1. Initialize a variable `count` as 0 to keep track of the number of occurrences.
Step 2. Iterate through the string `str` using a loop.
    - Check if the current substring of `str` is equal to `substr`.
    - If it is, increment `count` by 1.
Step 3. Return the value of `count`."
88,"def emi_calculator ( p , r , t ) :
    """"""Write a function that calculates the equated monthly installment (EMI) for a loan.
    The function takes three parameters: the principal amount (p), the annual interest rate (r), and the loan tenure in years (t).
    The function first converts the annual interest rate to a monthly interest rate by dividing it by 12 and 100.
    It then converts the loan tenure from years to months by multiplying it by 12.
    The EMI is calculated using the formula: EMI = (p * r * (1 + r)^t) / ((1 + r)^t - 1).
    Finally, the function returns the calculated EMI.
    """"""","How to solve:
Step 1. Convert the annual interest rate to a monthly interest rate by dividing it by 12 and 100.
Step 2. Convert the loan tenure from years to months by multiplying it by 12.
Step 3. Calculate the EMI using the formula: EMI = (p * r * (1 + r)^t) / ((1 + r)^t - 1).
Step 4. Return the calculated EMI."
89,"def countTriplets ( A , B , C ) :
    """"""Write a function that takes three integers A, B, and C as input and returns the number of triplets (i, j, k) that satisfy the condition i * k > j * j.
    """"""","How to solve:
Step 1. Initialize a counter variable to 0.
Step 2. Iterate through all possible combinations of (i, j, k) from the given range of A, B, and C.
Step 3. Check if the condition i * k > j * j is satisfied.
    -If yes, increment the counter variable.
Step 4. Return the final value of the counter variable."
90,"def countNums ( l , r ) :
    """"""Write a function that takes two integers, l and r, and returns the count of numbers between l and r (inclusive) whose last digit is either 2, 3, or 9.
    """"""","How to solve:
Step 1. Initialize a variable count as 0.
Step 2. Iterate through the range from l to r (inclusive).
    -Check if the last digit of the current number is 2, 3, or 9.
    -If it is, increment count by 1.
Step 3. Return count."
91,"def longestAr ( n , arr ) :
    """"""Write a function that takes an integer n and a list of integers arr.
    The function should find the length of the longest arithmetic subsequence in arr.
    An arithmetic subsequence is a sequence of numbers in which the difference between any two consecutive numbers is the same.
    The function should return the length of the longest arithmetic subsequence.
    """"""","How to solve:
Step 1. Initialize a dictionary to store the length of the longest arithmetic subsequence for each number in arr.
Step 2. Initialize the maximum length of arithmetic subsequence as 0.
Step 3. Iterate through each number in arr.
    - Initialize a dictionary to store the difference between the current number and all previous numbers.
    - Iterate through all previous numbers.
        - Calculate the difference between the current number and the previous number.
        - If the difference is already in the dictionary, update the length of the arithmetic subsequence for the current number.
        - Otherwise, initialize the length of the arithmetic subsequence for the current number as 2.
    - Update the maximum length of arithmetic subsequence if necessary.
Step 4. Return the maximum length of arithmetic subsequence."
92,"def findMaxLenEven ( str ) :
    """"""Write a function that takes a string as input and returns the longest even-length substring that consists of only alphanumeric characters.
    If there is no such substring, the function should return ""-1"".
    """"""","How to solve:
Step 1. Initialize a variable max_len as 0 and a variable max_substring as an empty string.
Step 2. Iterate through the string.
    -For each character, check if it is alphanumeric.
    -If it is, check if the substring starting from that character and ending at the next even index is valid.
    -If it is valid and its length is greater than max_len, update max_len and max_substring.
Step 3. If max_len is still 0, return ""-1"". Otherwise, return max_substring."
93,"def count ( n ) :
    """"""Write a function that takes an integer as input and returns the number of times the integer can be divided by 2 before it becomes less than or equal to 1.
    """"""","How to solve:
Step 1. Initialize a count variable as 0.
Step 2. While n is greater than 1, divide n by 2 and increment count by 1.
Step 3. Return the count."
94,"def lexo_small ( n , k ) :
    """"""Write a function that takes two integers, n and k, and returns a string.
    The function creates a string of length n, consisting of all 'a' characters.
    It then modifies the string by replacing some of the 'a' characters with other lowercase letters.
    The number of replacements is determined by the value of k.
    The function iterates through the string in reverse order and performs the following steps for each character:
- Subtract the current index from k.
   
- If k is greater than or equal to 0, check if k is greater than or equal to 26.
    If it is, replace the character at the current index with 'z' and subtract 26 from k.
    Otherwise, calculate the ASCII value of the character to be replaced by adding k to 97 and subtracting 1.
    Replace the character at the current index with the corresponding lowercase letter and subtract the difference between the ASCII values of the replaced character and 'a' from k.
   
- If k is less than 0, exit the loop.
   
- Add the current index to k.
   
- Repeat the above steps for the previous index.
   
Finally, return the modified string.
    """"""","How to solve:
Step 1. Create a string of length n consisting of all 'a' characters.
Step 2. Iterate through the string in reverse order.
    - Subtract the current index from k.
    - If k >= 0, check if k >= 26.
        - If it is, replace the character at the current index with 'z' and subtract 26 from k.
        - Otherwise, calculate the ASCII value of the character to be replaced by adding k to 97 and subtracting 1.
            - Replace the character at the current index with the corresponding lowercase letter and subtract the difference between the ASCII values of the replaced character and 'a' from k.
    - If k < 0, exit the loop.
    - Add the current index to k.
Step 3. Return the modified string."
95,"def maxDistance ( n , fuel ) :
    """"""Write a function that takes two parameters, n and fuel, and returns the maximum distance that can be covered given the number of stops (n) and the amount of fuel available.
    The function calculates the distance covered by dividing the fuel by the number of stops and adding it to the total distance covered.
    It then decrements the number of stops by 1 and repeats the process until there are no more stops.
    Finally, it returns the total distance covered.
    """"""","How to solve:
Step 1. Initialize total distance covered as 0.
Step 2. Calculate the distance covered by dividing the fuel by the number of stops and add it to the total distance covered.
Step 3. Decrement the number of stops by 1.
Step 4. Repeat steps 2 and 3 until there are no more stops.
Step 5. Return the total distance covered."
96,"def findSplit ( arr , n ) :
    """"""Write a function that takes an array and its length as input and returns 1 if there exists a split point in the array such that the sum of the elements before the split point is equal to one-third of the total sum of the array and the sum of the elements after the split point is equal to two-thirds of the total sum of the array.
    If such a split point does not exist, the function returns 0.
    """"""","How to solve:
Step 1. Calculate the total sum of the array.
Step 2. Initialize a variable to keep track of the sum of elements before the split point.
Step 3. Iterate through the array.
    - Add the current element to the sum of elements before the split point.
    - If the sum of elements before the split point is equal to one-third of the total sum of the array and the sum of elements after the split point is equal to two-thirds of the total sum of the array, return 1.
Step 4. If no split point is found, return 0."
97,"def isWordPresent ( sentence , word ) :
    """"""Write a function that takes a sentence and a word as input and returns True if the word is present in the sentence, and False otherwise.
    """"""","How to solve:
Step 1. Split the sentence into a list of words.
Step 2. Iterate through the list of words.
    -If the current word is equal to the given word, return True.
Step 3. Return False."
98,"import math

def countDigit ( n ) :
    """"""Write a function that takes an integer and returns the number of digits in that integer.
    """"""","How to solve:
Step 1. Convert the integer to a string.
Step 2. Return the length of the string."
99,"def canBeEqual ( a , b , c , k ) :
    """"""Write a function that takes four integers (a, b, c, k) and returns True if it is possible to make all three integers (a, b, c) equal by adding or subtracting a value k, or False otherwise.
    """"""","How to solve:
Step 1. Check if a, b, and c are already equal. If they are, return True.
Step 2. Check if k is 0. If it is, return False.
Step 3. Check if k is divisible by 2. If it is, return True.
Step 4. Check if the difference between a and b is divisible by k. If it is, return True.
Step 5. Check if the difference between a and c is divisible by k. If it is, return True.
Step 6. Check if the difference between b and c is divisible by k. If it is, return True.
Step 7. If none of the above conditions are met, return False."
100,"def isRotation ( x , y ) :
    """"""Write a function that takes two integers, x and y, and returns True if y is a rotation of x or False otherwise.
    A rotation of x is defined as shifting the binary representation of x to the left by 32 bits and performing a bitwise OR operation with the original x.
    The function checks if the resulting value is equal to y and returns True if it is, otherwise it continues shifting the value to the right by 1 bit until it is less than y.
    If the value becomes less than y without being equal to it, the function returns False.
    """"""","How to solve:
Step 1. Shift the binary representation of x to the left by 32 bits.
Step 2. Perform a bitwise OR operation with the original x.
Step 3. Check if the resulting value is equal to y.
    -If it is, return True.
    -If not, continue shifting the value to the right by 1 bit until it is less than y.
    -If the value becomes less than y without being equal to it, return False."
101,"def countConsecutive ( s ) :
    """"""Write a function that takes a string as input and counts the number of consecutive characters that are not the same.
    The function should return the count.
    """"""","How to solve:
Step 1. Initialize a variable count as 0.
Step 2. Iterate through the string.
    -If the current character is not equal to the next character, increment count by 1.
Step 3. Return count."
102,"def countChars ( string , n ) :
    """"""Write a function that takes a string and an integer as input and returns the count of characters in the string.
    The function counts the characters in the string by iterating through each character and incrementing the count by 1.
    If the character is '0', the function increments the index by 1.
    Otherwise, it increments the index by 2.
    Finally, the function returns the count of characters.
    """"""","How to solve:
Step 1. Initialize count as 0.
Step 2. Iterate through each character in the string.
    -If the character is '0', increment count by 1.
    -Otherwise, increment count by 2.
Step 3. Return the count of characters."
103,"def findMinRemoval ( arr , n ) :
    """"""Write a function that takes an array and its length as input and returns the minimum number of elements that need to be removed from the array such that the absolute difference between adjacent elements is minimized.
    """"""","How to solve:
Step 1. Initialize a variable minRemovals to store the minimum number of elements to be removed, and set it to 0.
Step 2. Sort the array in non-decreasing order.
Step 3. Iterate through the array from index 1 to n-1.
    - Calculate the absolute difference between the current element and the previous element.
    - If the absolute difference is greater than 1, increment minRemovals by the difference minus 1.
Step 4. Return minRemovals."
104,"def countMaxSetBits ( left , right ) :
    """"""Write a function that takes two integers, `left` and `right`, and returns the maximum number that can be formed by setting the maximum number of consecutive bits in the binary representation of `left` to 1, without exceeding `right`.
    """"""","How to solve:
Step 1. Convert `left` and `right` to binary representation.
Step 2. Initialize a variable `max_bits` as 0.
Step 3. Iterate through the binary representation of `left`.
    -Count the number of consecutive 1s.
    -If the count is greater than `max_bits`, update `max_bits`.
Step 4. Convert `max_bits` number of bits to 1 in the binary representation of `left`.
Step 5. Convert the modified binary representation of `left` back to decimal.
Step 6. If the decimal representation of `left` is greater than `right`, return `right`.
Step 7. Return the decimal representation of `left`."
105,"def setBitNumber ( n ) :
    """"""Write a function that takes an integer and returns the next power of 2 that is greater than or equal to the input number.
    """"""","How to solve:
Step 1. Initialize a variable `power` as 1.
Step 2. Iterate while `power` is less than or equal to `n`.
    -Multiply `power` by 2.
Step 3. Return `power`."
106,"def isPerfect ( n ) :
    """"""Write a function that takes an integer and returns True if the integer is a perfect number or False otherwise.
    A perfect number is a positive integer that is equal to the sum of its proper divisors, excluding the number itself.
    """"""","How to solve:
Step 1. Initialize a variable sum_divisors as 0.
Step 2. Iterate through numbers from 1 to n-1.
    -If n is divisible by the current number, add it to sum_divisors.
Step 3. If sum_divisors is equal to n, return True. Otherwise, return False."
107,"def oddDays ( N ) :
    """"""Write a function that takes a year as input and returns the number of odd days in that year.
    An odd day is a day that does not occur in a complete week.
    The function calculates the number of odd days by dividing the year by 100 and 400 to determine the number of centuries and leap centuries respectively.
    It then calculates the number of leap years by shifting the year by 2 bits.
    The function subtracts the number of leap years from the total number of days in the year to get the number of non-leap years.
    If there are any centuries or leap centuries, the function adjusts the number of non-leap years and leap years accordingly.
    Finally, the function calculates the total number of days by adding the number of non-leap years and twice the number of leap years.
    The number of odd days is obtained by taking the modulus of the total number of days divided by 7.
    """"""","How to solve:
Step 1. Divide the year by 100 and 400 to determine the number of centuries and leap centuries respectively.
Step 2. Shift the year by 2 bits to calculate the number of leap years.
Step 3. Subtract the number of leap years from the total number of days in the year to get the number of non-leap years.
Step 4. Adjust the number of non-leap years and leap years if there are any centuries or leap centuries.
Step 5. Calculate the total number of days by adding the number of non-leap years and twice the number of leap years.
Step 6. Take the modulus of the total number of days divided by 7 to obtain the number of odd days."
108,"def pentdiagonal ( a ) :
    """"""Write a function that takes a number as input and returns the pentagonal diagonal length.
    If the input number is negative, the function should return -1.
    """"""","How to solve:
Step 1. Check if the input number is negative. If it is, return -1.
Step 2. Calculate the pentagonal diagonal length using the input number.
Step 3. Return the pentagonal diagonal length."
109,"def frequencyDigits ( n , d ) :
    """"""Write a function that takes two integers, n and d, and returns the frequency of the digit d in the number n.
    """"""","How to solve:
Step 1. Convert the number n to a string.
Step 2. Initialize a variable count as 0.
Step 3. Iterate through each character in the string representation of n.
    -If the character is equal to the digit d, increment count by 1.
Step 4. Return count."
110,"def validate ( n ) :
    """"""Write a function that takes an integer and checks if it is a valid number.
    A valid number is one that does not contain any repeated digits.
    The function should return True if the number is valid and False otherwise.
    """"""","How to solve:
Step 1. Convert the integer to a string.
Step 2. Iterate through each digit in the string.
    -If the digit appears more than once in the string, return False.
Step 3. If no repeated digits are found, return True."
111,"def canMakeEqual ( a , n ) :
    """"""Write a function that takes a list of integers and an integer n as input.
    The function checks if it is possible to make all the elements in the list equal by repeatedly dividing each element by 5 and 3 until they are no longer divisible by either.
    If it is possible to make all the elements equal, the function returns True.
    Otherwise, it returns False.
    """"""","How to solve:
Step 1. Iterate through the list of integers.
Step 2. Divide each element by 5 and 3 until it is no longer divisible by either.
Step 3. Check if all elements are equal.
    -If yes, return True.
    -If no, return False."
112,"def printNthElement ( n ) :
    """"""Write a function that takes an integer n as input and returns the nth element of an array.
    The array is initialized with 0s and has a length of n+1.
    The first element of the array is set to 4 and the second element is set to 7.
    For each index i from 3 to n+1, if i is odd, the value at index i is set to the value at index i//2 multiplied by 10 and added to 4.
    If i is even, the value at index i is set to the value at index (i//2)-1 multiplied by 10 and added to 7.
    Finally, the function returns the value at index n of the array.
    """"""","How to solve:
Step 1. Initialize an array with length n+1 and all elements set to 0.
Step 2. Set the first element of the array to 4 and the second element to 7.
Step 3. Iterate through the array starting from index 3 to n+1.
    - If the index is odd, set the value at index i to the value at index i//2 multiplied by 10 and added to 4.
    - If the index is even, set the value at index i to the value at index (i//2)-1 multiplied by 10 and added to 7.
Step 4. Return the value at index n of the array."
113,"def printNthElement ( n ) :
    """"""Write a function that takes an integer n and returns the nth element of an array.
    The array is initialized with 0s and has a length of n+1.
    The first element is set to 3 and the second element is set to 5.
    For each index i from 3 to n+1, if i is odd, the element at index i is set to the element at index i//2 multiplied by 10 and added with 3.
    If i is even, the element at index i is set to the element at index (i//2)-1 multiplied by 10 and added with 5.
    Finally, the function returns the element at index n.
    """"""","How to solve:
Step 1. Initialize an array with length n+1 and all elements set to 0.
Step 2. Set the first element of the array to 3 and the second element to 5.
Step 3. Iterate through the array from index 3 to n+1.
    - If the index is odd, set the element at index i to the element at index i//2 multiplied by 10 and added with 3.
    - If the index is even, set the element at index i to the element at index (i//2)-1 multiplied by 10 and added with 5.
Step 4. Return the element at index n."
114,"def printNthElement ( n ) :
    """"""Write a function that takes an integer n and returns the nth element of an array.
    The array is initialized with 0s and has a length of n+1.
    The first element is set to 1 and the second element is set to 2.
    For each subsequent element, if the index is odd, the element is calculated by multiplying the element at index i//2 by 10 and adding 1.
    If the index is even, the element is calculated by multiplying the element at index (i//2)-1 by 10 and adding 2.
    The function returns the element at index n.
    """"""","How to solve:
Step 1. Initialize an array with length n+1 and all elements set to 0.
Step 2. Set the first element of the array to 1 and the second element to 2.
Step 3. Iterate through the array starting from index 2.
    -If the index is odd, calculate the element by multiplying the element at index i//2 by 10 and adding 1.
    -If the index is even, calculate the element by multiplying the element at index (i//2)-1 by 10 and adding 2.
Step 4. Return the element at index n."
115,"def isPossibleToZero ( a , n ) :
    """"""Write a function that takes an array of integers and its length as input and returns True if it is possible to form a number by concatenating the elements of the array such that the resulting number is divisible by 11.
    Otherwise, it returns False.
    """"""","How to solve:
Step 1. Initialize an empty string to store the concatenated elements.
Step 2. Iterate through the array of integers.
    - Convert each integer to a string and concatenate it to the string from step 1.
Step 3. Convert the concatenated string to an integer.
Step 4. Check if the integer is divisible by 11.
    - If yes, return True.
    - If no, return False."
116,"def squareArea ( l , b , h ) :
    """"""Write a function that takes three parameters representing the length, breadth, and height of a square.
    The function should return the area of the square if all the parameters are positive, otherwise it should return -1.
    """"""","How to solve:
Step 1. Check if all parameters (l, b, h) are positive.
    -If any parameter is negative, return -1.
Step 2. Calculate the area of the square using the formula: area = l * b * h.
Step 3. Return the calculated area."
117,"def FirstAndLast ( string ) :
    """"""Write a function that takes a string as input and returns a new string where the first and last letter of each word in the input string are capitalized.
    The function should ignore any non-alphabetic characters.
    """"""","How to solve:
Step 1. Split the input string into a list of words.
Step 2. Iterate through each word in the list.
    -If the word contains non-alphabetic characters, ignore it.
    -Otherwise, capitalize the first and last letter of the word.
Step 3. Join the modified words back into a string and return it."
118,"import math

def findBucketNo ( p ) :
    """"""Write a function that takes an integer p and returns the bucket number where p belongs.
    The bucket number is calculated by taking the ceiling of the square root of (8 * p + 1) minus 1, divided by 2.
    """"""","How to solve:
Step 1. Calculate the value inside the square root: (8 * p + 1).
Step 2. Take the ceiling of the square root.
Step 3. Subtract 1 from the result.
Step 4. Divide the result by 2.
Step 5. Return the final result as the bucket number."
119,"def areDistinct ( arr ) :
    """"""Write a function that takes an array as input and returns True if all the elements in the array are distinct (i.
   e.
   , there are no duplicate elements), and False otherwise.
    """"""","How to solve:
Step 1. Iterate through the array.
Step 2. For each element, check if it appears more than once in the array.
    -If it does, return False.
Step 3. If no duplicate elements are found, return True."
120,"def countDistinctCode ( string ) :
    """"""Write a function that takes a string as input and returns the count of distinct two-character codes in the string.
    """"""","How to solve:
Step 1. Initialize a set to store distinct two-character codes.
Step 2. Iterate through the string.
    -Check if the current index + 1 is within the string length.
    -If so, add the two-character code formed by the current character and the next character to the set.
Step 3. Return the length of the set."
